Stabr,area_name,Employed_2019,Unemployed_2019,Unemployment_rate_2019
GA,"Jasper County, GA","6,726",213,3.1
GA,"Jeff Davis County, GA","5,772",279,4.6
GA,"Jefferson County, GA","6,260",312,4.7
GA,"Jenkins County, GA","2,983",160,5.1
GA,"Johnson County, GA","3,889",147,3.6
GA,"Jones County, GA","13,262",434,3.2
GA,"Lamar County, GA","7,914",318,3.9
GA,"Lanier County, GA","3,601",147,3.9
GA,"Laurens County, GA","18,269",873,4.6
GA,"Lee County, GA","14,268",449,3.1
GA,"Liberty County, GA","25,119",977,3.7
GA,"Lincoln County, GA","3,417",137,3.9
GA,"Long County, GA","7,841",296,3.6
GA,"Lowndes County, GA","49,376","1,804",3.5
GA,"Lumpkin County, GA","16,200",519,3.1
GA,"McDuffie County, GA","8,402",450,5.1
GA,"McIntosh County, GA","5,948",219,3.6
GA,"Macon County, GA","4,476",217,4.6
GA,"Madison County, GA","12,877",405,3
GA,"Marion County, GA","3,165",140,4.2
GA,"Meriwether County, GA","8,510",401,4.5
GA,"Miller County, GA","2,659",90,3.3
GA,"Mitchell County, GA","8,060",385,4.6
GA,"Monroe County, GA","12,574",421,3.2
GA,"Montgomery County, GA","3,607",200,5.3
GA,"Morgan County, GA","8,953",287,3.1
GA,"Murray County, GA","14,725",780,5
GA,"Muscogee County, GA","73,977","3,513",4.5
GA,"Newton County, GA","50,187","2,010",3.9
GA,"Oconee County, GA","19,014",496,2.5
GA,"Oglethorpe County, GA","6,706",223,3.2
GA,"Paulding County, GA","83,397","2,519",2.9
GA,"Peach County, GA","11,343",483,4.1
GA,"Pickens County, GA","14,816",455,3
GA,"Pierce County, GA","8,404",294,3.4
GA,"Pike County, GA","8,631",268,3
GA,"Polk County, GA","17,761",668,3.6
GA,"Pulaski County, GA","3,896",156,3.8
GA,"Putnam County, GA","7,831",354,4.3
GA,"Quitman County, GA",760,40,5
GA,"Rabun County, GA","6,900",252,3.5
GA,"Randolph County, GA","2,405",122,4.8
GA,"Richmond County, GA","81,242","3,843",4.5
GA,"Rockdale County, GA","43,061","1,690",3.8
GA,"Schley County, GA","2,115",85,3.9
GA,"Screven County, GA","4,813",275,5.4
GA,"Seminole County, GA","2,903",134,4.4
GA,"Spalding County, GA","27,530","1,145",4
GA,"Stephens County, GA","10,273",412,3.9
GA,"Stewart County, GA","2,296",100,4.2
GA,"Sumter County, GA","12,077",609,4.8
GA,"Talbot County, GA","2,693",126,4.5
GA,"Taliaferro County, GA",539,28,4.9
GA,"Tattnall County, GA","9,194",366,3.8
GA,"Taylor County, GA","2,950",124,4
GA,"Telfair County, GA","3,716",391,9.5
GA,"Terrell County, GA","3,333",177,5
GA,"Thomas County, GA","15,807",663,4
GA,"Tift County, GA","19,088",663,3.4
GA,"Toombs County, GA","11,079",576,4.9
GA,"Towns County, GA","3,705",188,4.8
GA,"Treutlen County, GA","2,503",139,5.3
GA,"Troup County, GA","36,117","1,187",3.2
GA,"Turner County, GA","3,019",120,3.8
GA,"Twiggs County, GA","2,722",156,5.4
GA,"Union County, GA","9,953",321,3.1
GA,"Upson County, GA","10,916",404,3.6
GA,"Walker County, GA","30,242","1,116",3.6
GA,"Walton County, GA","44,601","1,410",3.1
GA,"Ware County, GA","14,986",569,3.7
GA,"Warren County, GA","2,693",128,4.5
GA,"Washington County, GA","6,722",291,4.1
GA,"Wayne County, GA","10,947",456,4
GA,"Webster County, GA",957,50,5
GA,"Wheeler County, GA","1,490",120,7.5
