Stabr,Area_name,POVALL_2019,PCTPOVALL_2019
IN,Clark County,"11,267",9.7
IN,Clay County,"2,920",11.3
IN,Clinton County,"3,545",11.3
IN,Crawford County,"1,723",16.5
IN,Daviess County,"3,686",11.3
IN,Dearborn County,"4,546",9.3
IN,Decatur County,"2,502",9.6
IN,De Kalb County,"4,040",9.5
IN,Delaware County,"22,680",21.5
IN,Dubois County,"2,465",5.9
IN,Elkhart County,"19,316",9.6
IN,Fayette County,"3,059",13.5
IN,Floyd County,"8,161",10.6
IN,Fountain County,"2,000",12.5
IN,Franklin County,"2,073",9.2
IN,Fulton County,"1,876",9.6
IN,Gibson County,"3,050",9.3
IN,Grant County,"9,713",16
IN,Greene County,"4,242",13.5
IN,Hamilton County,"14,199",4.2
IN,Hancock County,"3,978",5.2
IN,Harrison County,"3,276",8.2
IN,Hendricks County,"8,123",4.9
IN,Henry County,"5,709",12.9
IN,Howard County,"9,880",12.2
IN,Huntington County,"3,407",9.7
IN,Jackson County,"4,391",10.1
IN,Jasper County,"2,854",8.8
IN,Jay County,"2,510",12.5
IN,Jefferson County,"3,476",11.6
IN,Jennings County,"3,169",11.6
IN,Johnson County,"9,294",6
IN,Knox County,"4,381",12.7
IN,Kosciusko County,"6,996",9
IN,Lagrange County,"2,943",7.5
IN,Lake County,"69,073",14.5
IN,La Porte County,"13,771",13.4
IN,Lawrence County,"4,670",10.5
IN,Madison County,"16,056",13.1
IN,Marion County,"143,107",15.2
IN,Marshall County,"4,947",10.9
IN,Martin County,"1,098",10.9
IN,Miami County,"4,162",13
IN,Monroe County,"27,710",20.8
IN,Montgomery County,"4,478",12.1
IN,Morgan County,"6,201",8.9
IN,Newton County,"1,300",9.5
IN,Noble County,"3,662",7.8
IN,Ohio County,554,9.6
IN,Orange County,"2,728",14.1
IN,Owen County,"2,447",12
IN,Parke County,"2,308",15.1
IN,Perry County,"2,113",12.1
IN,Pike County,"1,140",9.4
IN,Porter County,"13,421",8.1
IN,Posey County,"2,167",8.6
IN,Pulaski County,"1,357",11.2
IN,Putnam County,"3,408",10.5
IN,Randolph County,"3,222",13.3
IN,Ripley County,"2,525",9.1
